City,State,lat,lng
Shungnak,AK,66.8878642,-157.1398537
North Little Rock,AR,34.756104,-92.2677497
Springdale,AR,36.1745404,-94.1389831
Bearden,AR,33.7246503,-92.6156607
Almyra,AR,34.4061761,-91.4100147
Lake Village,AR,33.3314055,-91.2840738
Marana,AZ,32.436381,-111.2224422
Kingman,AZ,35.189443,-114.0530065
Phoenix,AZ,33.4483771,-112.0740373
Tucson,AZ,32.2539787,-110.9741769
Anza,CA,33.5552692,-116.6741822
Brawley,CA,32.9786566,-115.530267
Herlong,CA,40.1439386,-120.1346535
Manteca,CA,37.7974273,-121.2160526
McFarland,CA,35.6780104,-119.2292748
Bakersfield,CA,35.3732921,-119.0187125
Cantua Creek,CA,36.50134,-120.3162666
Los Banos,CA,37.0582786,-120.8499151
Calipatria,CA,33.1255957,-115.5141538
Roseville,CA,38.7521235,-121.2880059
Mountain Center,CA,33.7063905,-116.7252397
Brighton,CO,39.9852617,-104.8205283
Basalt,CO,39.3724811,-107.0785013
Cortez,CO,37.3488827,-108.5859265
Montrose,CO,38.4783198,-107.8761738
Grand Junction,CO,39.0638705,-108.5506486
Colorado Springs,CO,38.8338816,-104.8213634
Rifle,CO,39.5347023,-107.7831198
Fort Collins,CO,40.5852602,-105.084423
Bedrock,CO,38.3149897,-108.8909363
Denver,CO,39.7392358,-104.990251
Boulder,CO,40.0149856,-105.2705456
Breckenridge,CO,39.4816537,-106.0383518
Aurora,CO,39.7294319,-104.8319195
Lafayette,CO,39.9935959,-105.0897058
Crested Butte,CO,38.8697146,-106.9878231
Golden,CO,39.755543,-105.2210997
Antonito,CO,37.079179,-106.0086329
Sterling,CO,40.6255415,-103.207709
Manitou Springs,CO,38.8575579,-104.9128177
Durango,CO,37.27528,-107.8800667
Pueblo,CO,38.2705996,-104.6101033
Steamboat,CO,40.4849769,-106.8317158
Ignacio,CO,37.1150037,-107.633113
Waktins,CO,39.7435442,-104.6080353
Watkins,CO,39.7435442,-104.6080353
Leadville,CO,39.2508229,-106.2925238
Craig,CO,40.5152491,-107.5464541
Carbondale,CO,39.4022054,-107.2111628
Meeker,CO,40.0374733,-107.9131299
Gypsum,CO,39.6446532,-106.9491072
Arvada,CO,39.8027644,-105.0874842
Norwood,CO,38.130546,-108.2923037
La Jara,CO,37.2750084,-105.960301
Platteville,CO,40.2149829,-104.8227494
Rocky Ford,CO,38.052508,-103.7202274
Ordway,CO,38.2180608,-103.7560606
Greeley,CO,40.4233142,-104.7091322
Gilcrest,CO,40.2819266,-104.7777471
Parachute,CO,39.4519225,-108.0528529
Palisade,CO,39.1102587,-108.3509193
Alamosa,CO,37.4694491,-105.8700214
Salida,CO,38.5347193,-105.9989022
Morrison,CO,39.6535988,-105.1910996
Towaoc,CO,37.2044387,-108.7295415
Longmont,CO,40.1672068,-105.1019275
Monte Vista,CO,37.5791696,-106.1480842
Brush,CO,40.2588686,-103.6238367
New Castle,CO,39.5727585,-107.5364443
Lakewood,CO,39.7047095,-105.0813734
Johnstown,CO,40.3369272,-104.9121967
La Salle,CO,40.3488703,-104.7019102
Bloomfield,CT,41.826488,-72.7300945
Washington,DC,38.9071923,-77.0368707
Georgetown,DE,38.6901134,-75.3854728
Newark,DE,39.6837226,-75.7496572
Marathon,FL,24.726026,-81.0446262
Orlando,FL,28.5383832,-81.3789269
Hilliard,FL,30.691068,-81.9173334
Kenansville,FL,27.8764614,-80.9882554
