Year,Project Name,City,State,Utility,System Size (kW-AC),Year of Interconnection
2024,Shungnak-Kobuk Community Solar Independent Power Producer,Shungnak,AK,,223,2021
2024,Bearskin Solar Center,North Little Rock,AR,Entergy Arkansas Inc,150,2015
2024,Ozarks Natural Energy,Springdale,AR,Ozarks Electric Coop Corp - (AR),1000,2016
2024,Holly Springs Community Solar,Bearden,AR,Ouachita Electric Coop Corp,1000,2017
2024,Stuttgart Solar,Almyra,AR,Entergy Arkansas Inc,81000,2018
2024,Chicot Solar project,Lake Village,AR,Entergy Arkansas Inc,100000,2020
2024,SunWatts Sun Farm,Marana,AZ,Trico Electric Cooperative Inc,174.62,2011
2024,Western Wind Energy's Integrated Wind and Solar System,Kingman,AZ,"UNS Electric, Inc",500,2011
2024,La Senita Elementary School,Kingman,AZ,"UNS Electric, Inc",1220,2011
2024,Salt River Project Community Solar,Phoenix,AZ,Salt River Project,15384.62,2011
2024,TEP GoSolar Shares,Tucson,AZ,Tucson Electric Power Co,22300,2011
2024,Stephen H. Jacobson Solar Facility,Kingman,AZ,"UNS Electric, Inc",5000,2017
2024,Anza Solar Farm,Anza,CA,Anza Electric Coop Inc,170,2011
2024,NRG Community Solar 1,Brawley,CA,Imperial Irrigation District,6000,2014
2024,Pluman-Sierra Community Solar,Herlong,CA,Plumas-Sierra Rural Elec Coop,2500,2017
2024,Manteca Land 1 (Solar Choice),Manteca,CA,Pacific Gas & Electric Co.,1000,2018
2024,Delano Land 1,McFarland,CA,Pacific Gas & Electric Co.,1000,2018
2024,Bakersfield Industrial 1,Bakersfield,CA,Pacific Gas & Electric Co.,1000,2018
2024,RE Tranquility 8 Amarillo,Cantua Creek,CA,Pacific Gas & Electric Co.,2000,2018
2024,Redwood 4 Solar Farm,Bakersfield,CA,Pacific Gas & Electric Co.,2000,2018
2024,Merced 1,Los Banos,CA,Pacific Gas & Electric Co.,3000,2018
2024,Bakersfield PV 1,Bakersfield,CA,Pacific Gas & Electric Co.,5255,2018
2024,Midway III (97WI 8ME) Project GTSR,Calipatria,CA,San Diego Gas & Electric Co,20000,2018
2024,Roseville Solective,Roseville,CA,City of Roseville - (CA),960,2019
2024,CSD Anza Community Solar,Mountain Center,CA,Anza Electric Coop Inc,768.18,2021
2024,Sol Partners Cooperative Solar Farm,Brighton,CO,"United Power, Inc",30.77,2009
2024,Mid-Valley Community Solar Array,Basalt,CO,"Holy Cross Electric Assn, Inc",61.54,2010
2024,Solar Assist Cooperative Garden,Cortez,CO,"Empire Electric Assn, Inc",4.15,2011
2024,Delta Montrose Community Solar Array,Montrose,CO,Delta Montrose Electric Assn,15.38,2011
2024,Grand Valley Power Solar Farm,Grand Junction,CO,Grand Valley Power Cooperative,23.08,2011
2024,Venetucci Farm Solar Garden,Colorado Springs,CO,Colorado Springs Utilities,446.15,2011
2024,Garfield County Airport Solar Array,Rifle,CO,"Holy Cross Electric Assn, Inc",660,2011
2024,PVREA Headquarters Solar Array,Fort Collins,CO,Poudre Valley Rural Electric Association,92.31,2012
2024,Colorado Spring Utilities Pilot Community Solar Project 2,Colorado Springs,CO,Colorado Springs Utilities,438.46,2012
2024,Good Shepherd Solar Garden,Colorado Springs,CO,Colorado Springs Utilities,446.15,2012
2024,Paradox Valley Solar Array,Bedrock,CO,San Miguel Power Association,864.8,2012
2024,"Breck Solar 1, LLC (SRC010497)",Denver,CO,Public Service Co of Colorado,307.75,2013
2024,"Mesa Solar 1, LLC (SRC010499)",Boulder,CO,Public Service Co of Colorado,381.89,2013
2024,"Summit Solar 1, LLC (SRC010500)",Breckenridge,CO,Public Service Co of Colorado,383.05,2013
2024,"Can Solar 1, LLC (SRC010506)",Aurora,CO,Public Service Co of Colorado,383.05,2013
2024,Community Energy Solar Garden 1 (SRC010507),Lafayette,CO,Public Service Co of Colorado,383.31,2013
2024,Community Energy Solar Garden 2 (SRC010512),Lafayette,CO,Public Service Co of Colorado,383.31,2013
2024,"CEC Solar #1020, LLC (SRC010502)",Breckenridge,CO,Public Service Co of Colorado,384.24,2013
2024,Town of Crested Butte Array,Crested Butte,CO,Gunnison County Elec Assn.,3.69,2014
2024,"CEC Solar #1026, LLC (SRC010498)",Golden,CO,Public Service Co of Colorado,88.58,2014
2024,"CEC Solar #1021, LLC (SRC018667)",Denver,CO,Public Service Co of Colorado,382.58,2014
2024,"GC Solar 2, LLC (SRC010496)",Denver,CO,Public Service Co of Colorado,383.98,2014
2024,AntE (SRC018677),Antonito,CO,Public Service Co of Colorado,384.62,2014
2024,"CEC Solar #1023, LLC (SRC011647)",Golden,CO,Public Service Co of Colorado,437.82,2014
2024,Sterling CSG (SRC011229),Sterling,CO,Public Service Co of Colorado,1538.31,2014
2024,Mesa CSG (SRC011744),Grand Junction,CO,Public Service Co of Colorado,1538.31,2014
2024,Pikes Peak Solar Garden,Manitou Springs,CO,Colorado Springs Utilities,1769.23,2014
2024,GVP Phase 1,Grand Junction,CO,Grand Valley Power Cooperative,22.4,2015
2024,Durango Solar Garden 2,Durango,CO,La Plata Electric Association,38.46,2015
2024,GVP Phase 2,Grand Junction,CO,Grand Valley Power Cooperative,54.63,2015
2024,Black Hills Energy,Pueblo,CO,Black Hills Energy,92.31,2015
2024,Yampa Valley Solar Garden,Steamboat,CO,Yampa Valley Electric Association,96.15,2015
2024,Durango Solar Garden 1,Ignacio,CO,La Plata Electric Association,153.85,2015
2024,Adams I (SRC018665),Waktins,CO,Public Service Co of Colorado,382.46,2015
2024,Adams II (SRC018672),Watkins,CO,Public Service Co of Colorado,382.46,2015
2024,Arapahoe I (SRC018661),Watkins,CO,Public Service Co of Colorado,384.08,2015
2024,Denver I (SRC018663),Denver,CO,Public Service Co of Colorado,384.15,2015
2024,Denver II (SRC018664),Denver,CO,Public Service Co of Colorado,384.15,2015
2024,"CEC Solar #1025, LLC (SRC018668)",Boulder,CO,Public Service Co of Colorado,384.54,2015
2024,"CEC Solar #1022, LLC (SRC018669)",Leadville,CO,Public Service Co of Colorado,384.54,2015
2024,"CEC Solar #1037, LLC (SRC010509)",Aurora,CO,Public Service Co of Colorado,384.62,2015
2024,YVEA Community Solar Array,Craig,CO,Yampa Valley Electric Association,446.15,2015
2024,PVREA Solar Array 2,Fort Collins,CO,Poudre Valley Rural Electric Association,484.62,2015
2024,Riverside Community Solar Array,Fort Collins,CO,Fort Collins Utilities,484.62,2015
2024,HCE Community Solar Array 4,Rifle,CO,"Holy Cross Electric Assn, Inc",638.46,2015
2024,Adams (SRC023377),Watkins,CO,Public Service Co of Colorado,1150.85,2015
2024,Adams III (SRC023376),Waktins,CO,Public Service Co of Colorado,1153.38,2015
2024,Sunnyside Ranch Community Solar Array,Carbondale,CO,"Holy Cross Electric Assn, Inc",1376.92,2015
2024,SunShare-NRG Community Solar 5,Colorado Springs,CO,Colorado Springs Utilities,2207.69,2015
2024,EEA/GRID CO Solar Garden,Cortez,CO,"Empire Electric Assn, Inc",20,2016
2024,Meeker Solar Garden,Meeker,CO,"White River Electric Assn, Inc",76.92,2016
2024,HCE Community Solar,Gypsum,CO,"Holy Cross Electric Assn, Inc",111.3,2016
2024,DMEA GRID Alternatives Array (Low Income),Montrose,CO,Delta-Montrose Electric Assn.,115.38,2016
2024,Colorado Springs Community Solar Array,Colorado Springs,CO,Colorado Springs Utilities,384.62,2016
2024,Alkire (SRC023375),Arvada,CO,Public Service Co of Colorado,1151.45,2016
2024,GVP Phase 3,Grand Junction,CO,Grand Valley Power Cooperative,28.11,2017
2024,Fort Collins Utilities Rooftop Solar Garden,Fort Collins,CO,Fort Collins Utilities,50,2017
2024,San Miguel Power Association Solar Garden,Norwood,CO,San Miguel Power Association,153.85,2017
2024,San Luis Solar Garden (SRC042532),Antonito,CO,Public Service Co of Colorado,1153.85,2017
2024,"Coyote Ridge Community Solar Farm (GRID Alternatives, Low Income)",Fort Collins,CO,Poudre Valley Rural Electric Association,1500,2017
2024,"CEC Solar #1121, LLC (SRC042361)",Aurora,CO,Public Service Co of Colorado,1526.54,2017
2024,"CEC Solar #1122, LLC (SRC042362)",Watkins,CO,Public Service Co of Colorado,1526.54,2017
2024,CEC Solar #1119 (SRC042360),La Jara,CO,Public Service Co of Colorado,1528.62,2017
2024,100% Low-Income Community-Based Solar Ga (SRC053962),Watkins,CO,Public Service Co of Colorado,1535.38,2017
2024,Town of Crested Butte Array,Crested Butte,CO,Gunnison County Elec Assn.,11.54,2018
